Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
Winnipeg Jets,14-15,43-26-13,99,82,3807:11:00,145,123,2574,2377,149.94,137.88
Anaheim Ducks,15-16,46-25-11,103,82,3879:14:00,127,131,2743,2422,149.52,134.43
Arizona Coyotes,15-16,35-39-8,78,82,3772:54:00,131,136,2392,2781,125.08,145.12
Boston Bruins,15-16,42-31-9,93,82,3945:57:00,158,151,2732,2768,140.19,144.91
Buffalo Sabres,15-16,35-36-11,81,82,3993:36:00,121,149,2506,2786,127.54,143.73
Calgary Flames,15-16,35-40-7,77,82,3965:15:00,152,168,2544,2710,142.95,153.6
Carolina Hurricanes,15-16,36-31-15,87,82,4035:13:00,132,158,2731,2658,160.41,159.89
Chicago Blackhawks,15-16,47-26-9,103,82,3989:29:00,134,141,2665,2653,146.58,155.58
Colorado Avalanche,15-16,39-39-4,82,82,3890:22:00,138,151,2408,2914,124.68,160.77
Columbus Blue Jackets,15-16,34-40-8,76,82,3913:11:00,148,159,2557,2713,167.72,157.79
Dallas Stars,15-16,50-23-9,109,82,3938:14:00,165,154,2962,2682,170.3,154.3
Detroit Red Wings,15-16,41-30-11,93,82,3861:15:00,130,138,2569,2541,146.86,144.05
Edmonton Oilers,15-16,31-43-8,70,82,3953:25:00,134,170,2587,2763,147.2,154.83
Florida Panthers,15-16,47-26-9,103,82,3864:09:00,159,125,2448,2554,134.78,139.53
Los Angeles Kings,15-16,48-28-6,102,82,3935:40:00,140,121,3054,2383,160.48,134.24
Minnesota Wild,15-16,38-33-11,87,82,3983:06:00,139,128,2521,2663,135.12,133.69
Montreal Canadiens,15-16,37-38-7,81,82,3915:43:00,146,152,2684,2550,152.25,143.07
Nashville Predators,15-16,41-27-14,96,82,3920:27:00,142,137,2733,2370,142.15,122.65
New Jersey Devils,15-16,38-36-8,84,82,3875:00:00,109,132,2096,2367,122.98,132.85
New York Islanders,15-16,45-27-10,100,82,4013:21:00,154,146,2680,2696,152.98,162.66
New York Rangers,15-16,46-27-9,101,82,3995:34:00,163,129,2552,2777,151.3,167.54
Ottawa Senators,15-16,38-35-9,85,82,3960:46:00,149,148,2517,2871,138.86,154.72
Philadelphia Flyers,15-16,41-27-14,96,82,3851:08:00,133,129,2637,2598,142.88,149.02
Pittsburgh Penguins,15-16,48-26-8,104,82,3904:27:00,159,129,2831,2518,165.34,132.89
San Jose Sharks,15-16,46-30-6,98,82,3950:39:00,147,132,2695,2392,158.89,129.2
St Louis Blues,15-16,49-24-9,107,82,3908:01:00,139,124,2706,2470,151.2,139.33
Tampa Bay Lightning,15-16,46-31-5,97,82,3825:57:00,148,125,2633,2477,135.96,126.19
Toronto Maple Leafs,15-16,29-42-11,69,82,3866:18:00,120,160,2764,2784,148.84,146.3
Vancouver Canucks,15-16,31-38-13,75,82,3947:38:00,123,153,2447,2809,128.38,162.76
Washington Capitals,15-16,56-18-8,120,82,3939:06:00,164,128,2720,2567,152.34,141.56
Winnipeg Jets,15-16,35-39-8,78,82,3863:07:00,144,144,2618,2495,148.77,145.35
Anaheim Ducks,16-17,46-23-13,105,82,3884:26:00,145,128,2646,2636,158.32,144.42
Arizona Coyotes,16-17,30-42-10,70,82,3982:16:00,132,167,2562,3202,127.94,174.2
Boston Bruins,16-17,44-31-7,95,82,3899:43:00,142,147,2951,2381,156.9,130.21
Buffalo Sabres,16-17,33-37-12,78,82,4030:48:00,126,155,2675,2977,141.47,155.69
Calgary Flames,16-17,45-33-4,94,82,3887:07:00,140,144,2546,2538,135.54,145.09
Carolina Hurricanes,16-17,36-31-15,87,82,4064:08:00,145,170,2805,2755,156.57,152.0
Chicago Blackhawks,16-17,50-23-9,109,82,4064:42:00,164,138,2708,2715,152.79,158.85
Colorado Avalanche,16-17,22-56-4,48,82,3938:04:00,114,193,2531,2788,123.49,146.94
Columbus Blue Jackets,16-17,50-24-8,108,82,3994:11:00,168,132,2772,2725,161.48,157.68
Dallas Stars,16-17,34-37-11,79,82,3970:24:00,149,154,2815,2743,160.16,159.44
Detroit Red Wings,16-17,33-36-13,79,82,3973:08:00,144,162,2544,2724,141.39,149.92
Edmonton Oilers,16-17,47-26-9,103,82,4010:20:00,166,140,2739,2636,160.14,157.98
Florida Panthers,16-17,35-36-11,81,82,3897:40:00,130,160,2715,2698,139.37,150.14
Los Angeles Kings,16-17,39-35-8,86,82,3976:12:00,127,133,2926,2400,161.11,135.51
Minnesota Wild,16-17,49-25-8,106,82,4054:50:00,187,148,2768,2780,153.16,128.55
Montreal Canadiens,16-17,47-26-9,103,82,4022:22:00,154,129,2837,2574,158.09,138.59
Nashville Predators,16-17,41-29-12,94,82,3949:30:00,160,142,2815,2707,145.64,139.12
New Jersey Devils,16-17,28-40-14,70,82,3927:05:00,114,149,2470,2687,133.22,141.84
New York Islanders,16-17,41-29-12,94,82,4031:06:00,177,170,2714,2936,154.32,168.78
New York Rangers,16-17,48-28-6,102,82,4012:50:00,167,154,2669,2801,157.53,160.88
Ottawa Senators,16-17,44-28-10,98,82,3927:24:00,135,141,2616,2745,141.64,148.65
Philadelphia Flyers,16-17,39-33-10,88,82,3910:53:00,127,154,2685,2544,143.28,143.14
Pittsburgh Penguins,16-17,50-21-11,111,82,3949:39:00,185,150,2874,2735,177.27,159.0
San Jose Sharks,16-17,46-29-7,99,82,4011:00:00,151,135,2805,2587,161.62,150.8
St Louis Blues,16-17,46-29-7,99,82,3938:31:00,154,138,2542,2495,138.27,131.44
Tampa Bay Lightning,16-17,42-30-10,94,82,3907:02:00,140,145,2693,2627,144.83,139.0
Toronto Maple Leafs,16-17,40-27-15,95,82,3971:03:00,169,161,2940,2969,164.05,159.75
Vancouver Canucks,16-17,30-43-9,69,82,4050:23:00,128,158,2486,2832,131.84,157.91
Washington Capitals,16-17,55-19-8,118,82,3905:52:00,178,112,2695,2542,145.66,143.85
Winnipeg Jets,16-17,40-35-7,87,82,3893:19:00,157,166,2551,2616,147.66,145.42
Anaheim Ducks,17-18,44-25-13,101,82,3942:29:00,157,137,2753,2926,159.19,169.64
Arizona Coyotes,17-18,29-41-12,70,82,4020:07:00,140,164,2729,3083,149.66,166.67
Boston Bruins,17-18,50-20-12,112,82,3944:04:00,166,138,2947,2531,163.65,137.6
Buffalo Sabres,17-18,25-45-12,62,82,3947:59:00,119,176,2602,2868,131.14,153.25
Calgary Flames,17-18,37-35-10,84,82,3893:12:00,147,158,3127,2738,169.11,151.99
Carolina Hurricanes,17-18,36-35-11,83,82,4086:51:00,155,179,3113,2737,176.98,156.94
Chicago Blackhawks,17-18,33-39-10,76,82,3940:24:00,157,174,2948,2833,168.53,168.0
Colorado Avalanche,17-18,43-30-9,95,82,3825:29:00,152,140,2530,2850,130.04,151.15
Columbus Blue Jackets,17-18,45-30-7,97,82,4063:25:00,169,148,3106,2798,179.37,165.11
Dallas Stars,17-18,42-32-8,92,82,3916:34:00,148,135,2680,2563,155.11,139.39
Detroit Red Wings,17-18,30-39-13,73,82,3993:30:00,148,166,2746,2816,150.11,156.98
Edmonton Oilers,17-18,36-40-6,78,82,4057:04:00,163,176,3035,2903,178.24,170.91
Florida Panthers,17-18,44-30-8,96,82,3964:26:00,166,168,2965,2963,162.42,168.25
Los Angeles Kings,17-18,45-29-8,98,82,3950:35:00,153,134,2736,2770,144.19,158.43
Minnesota Wild,17-18,45-26-11,101,82,3954:01:00,160,144,2603,2804,148.98,134.12
Montreal Canadiens,17-18,29-40-13,71,82,3976:31:00,130,158,2825,2785,161.6,152.56
Nashville Predators,17-18,53-18-11,117,82,3846:08:00,167,128,2854,2689,153.83,150.06
New Jersey Devils,17-18,44-29-9,97,82,3933:46:00,160,167,2769,2878,157.84,158.19
New York Islanders,17-18,35-37-10,80,82,4011:51:00,177,189,2734,3103,154.92,179.7
New York Rangers,17-18,34-39-9,77,82,3991:22:00,150,181,2687,3146,166.34,183.87
