Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
Tampa Bay Lightning,21-22,50-23-8,108,81,3870:28:00,183,148,2736,2616,168.55,153.06
Toronto Maple Leafs,21-22,54-20-7,115,81,3979:24:00,208,182,3070,2711,190.58,154.43
Vancouver Canucks,21-22,40-30-12,92,82,4003:08:00,156,143,2791,2794,161.68,167.59
Vegas Golden Knights,21-22,43-31-8,94,82,4076:20:00,184,166,3100,2664,187.02,168.36
Washington Capitals,21-22,44-26-12,100,82,3979:06:00,179,157,2807,2654,161.88,157.44
Winnipeg Jets,21-22,39-32-11,89,82,3980:07:00,156,162,2832,2885,177.46,178.51
Anaheim Ducks,22-23,23-47-12,58,82,3992:30:00,143,224,2464,3444,150.64,226.64
Arizona Coyotes,22-23,28-40-14,70,82,3874:10:00,151,180,2348,2898,144.06,179.33
Boston Bruins,22-23,65-12-5,135,82,3849:41:00,199,114,2789,2598,178.14,156.34
Buffalo Sabres,22-23,42-33-7,91,82,3999:38:00,197,204,2874,2834,182.99,187.83
Calgary Flames,22-23,38-27-17,93,82,3917:47:00,182,169,3213,2421,195.91,157.24
Carolina Hurricanes,22-23,52-21-9,113,82,3938:17:00,174,139,3333,2242,207.72,138.61
Chicago Blackhawks,22-23,26-49-7,59,82,4039:15:00,135,208,2411,3062,143.0,193.15
Colorado Avalanche,22-23,51-24-7,109,82,3943:09:00,174,145,2837,2685,172.49,161.56
Columbus Blue Jackets,22-23,25-48-9,59,82,4035:06:00,143,231,2620,3264,160.28,202.48
Dallas Stars,22-23,47-21-14,108,82,3956:33:00,175,145,2789,2704,175.84,160.8
Detroit Red Wings,22-23,35-37-10,80,82,3918:18:00,146,183,2400,2750,145.09,169.16
Edmonton Oilers,22-23,50-23-9,109,82,3940:13:00,191,168,2842,2660,193.5,167.06
Florida Panthers,22-23,42-32-8,92,82,3801:44:00,191,159,3094,2695,199.07,170.97
Los Angeles Kings,22-23,47-25-10,104,82,3925:12:00,169,159,2880,2479,170.4,154.75
Minnesota Wild,22-23,46-25-11,103,82,3918:33:00,144,139,2721,2720,160.75,160.78
Montreal Canadiens,22-23,31-45-6,68,82,3947:43:00,162,200,2432,2903,152.52,196.28
Nashville Predators,22-23,42-32-8,92,82,3896:42:00,146,153,2613,2952,168.0,186.61
New Jersey Devils,22-23,52-22-8,112,82,4039:44:00,197,154,3153,2653,206.52,162.32
New York Islanders,22-23,42-31-9,93,82,4023:06:00,176,145,2836,2895,180.41,183.39
New York Rangers,22-23,47-22-13,107,82,4028:13:00,180,153,2726,2701,171.13,176.48
Ottawa Senators,22-23,39-35-8,86,82,3770:32:00,151,177,2842,2619,176.39,165.37
Philadelphia Flyers,22-23,31-38-13,75,82,4007:06:00,152,174,2707,2851,162.13,176.73
Pittsburgh Penguins,22-23,40-31-11,91,82,3922:21:00,168,172,3062,2802,202.72,173.26
San Jose Sharks,22-23,22-44-16,60,82,3993:00:00,168,220,2706,2890,184.11,184.36
Seattle Kraken,22-23,46-28-8,100,82,4003:17:00,209,160,2891,2518,172.22,160.55
St Louis Blues,22-23,37-38-7,81,82,4034:40:00,180,188,2549,2962,157.17,193.88
Tampa Bay Lightning,22-23,46-30-6,98,82,3916:05:00,175,162,2834,2700,182.25,171.88
Toronto Maple Leafs,22-23,50-21-11,111,82,3944:23:00,184,142,2849,2637,190.8,165.58
Vancouver Canucks,22-23,38-37-7,83,82,3975:40:00,169,192,2516,2774,159.04,178.66
Vegas Golden Knights,22-23,51-22-9,111,82,4120:50:00,185,159,2811,2922,181.01,174.16
Washington Capitals,22-23,35-37-10,80,82,3986:29:00,173,182,2808,2861,177.72,179.38
Winnipeg Jets,22-23,46-33-3,95,82,3916:17:00,158,147,2814,2668,180.92,169.37
Anaheim Ducks,23-24,27-50-5,59,82,3822:41:00,127,174,2423,2790,142.87,167.67
Arizona Coyotes,23-24,36-41-5,77,82,3941:08:00,171,171,2648,2880,164.44,174.4
Boston Bruins,23-24,47-20-15,109,82,3923:33:00,174,135,2578,2850,166.7,166.59
Buffalo Sabres,23-24,39-37-6,84,82,3994:48:00,174,159,2827,2762,165.64,176.11
Calgary Flames,23-24,38-39-5,81,82,3951:57:00,167,181,2919,2736,171.03,167.48
Carolina Hurricanes,23-24,52-23-7,111,82,3956:36:00,169,146,3341,2368,191.95,144.67
Chicago Blackhawks,23-24,23-53-6,52,82,4001:31:00,118,202,2392,3130,140.91,191.91
Colorado Avalanche,23-24,50-25-7,107,82,3904:20:00,196,167,2944,2704,174.29,162.82
Columbus Blue Jackets,23-24,27-43-12,66,82,4017:36:00,175,196,2826,3131,169.43,197.86
Dallas Stars,23-24,52-21-9,113,82,4011:14:00,192,160,3024,2672,183.9,150.65
Detroit Red Wings,23-24,41-32-9,91,82,3936:38:00,177,189,2535,2988,147.74,175.22
Edmonton Oilers,23-24,49-27-6,104,82,3997:28:00,193,153,3108,2557,213.02,160.18
Florida Panthers,23-24,52-24-6,110,82,3793:53:00,155,119,2898,2493,175.03,147.87
Los Angeles Kings,23-24,44-27-11,99,82,3942:09:00,165,143,3042,2501,180.83,150.71
Minnesota Wild,23-24,39-33-10,88,82,3890:00:00,159,163,2629,2642,149.41,143.54
Montreal Canadiens,23-24,30-36-16,76,82,3927:36:00,160,164,2554,2977,163.69,189.05
Nashville Predators,23-24,47-30-5,99,82,3910:03:00,168,153,2931,2724,184.98,163.19
New Jersey Devils,23-24,38-39-5,81,82,3950:14:00,177,185,2842,2755,184.53,172.88
New York Islanders,23-24,39-27-16,94,82,4064:19:00,166,158,2848,3049,175.88,178.8
New York Rangers,23-24,55-23-4,114,82,3978:01:00,166,165,2863,2817,167.1,173.93
Ottawa Senators,23-24,37-41-4,78,82,3914:26:00,163,192,2839,2711,166.47,172.25
Philadelphia Flyers,23-24,38-33-11,87,82,3916:27:00,159,180,2975,2530,171.19,154.94
Pittsburgh Penguins,23-24,38-32-12,88,82,3947:04:00,179,172,3004,2919,186.42,176.95
San Jose Sharks,23-24,19-54-9,47,82,4024:16:00,119,226,2499,3270,148.33,206.31
Seattle Kraken,23-24,34-35-13,81,82,4014:16:00,144,146,2766,2796,162.74,159.14
St Louis Blues,23-24,43-33-6,92,82,3981:53:00,151,167,2553,3058,150.23,190.79
Tampa Bay Lightning,23-24,45-29-8,98,82,3970:13:00,171,190,2680,2656,160.52,167.0
Toronto Maple Leafs,23-24,46-26-10,102,82,4012:07:00,200,168,2943,2786,182.22,171.34
Vancouver Canucks,23-24,50-23-9,109,82,3921:15:00,187,136,2667,2543,169.61,154.85
Vegas Golden Knights,23-24,45-29-8,98,82,4015:23:00,176,163,2812,2870,172.58,165.7
Washington Capitals,23-24,40-31-11,91,82,4042:12:00,143,175,2521,2923,160.49,178.16
Winnipeg Jets,23-24,52-24-6,110,82,4006:07:00,178,121,2922,2765,174.09,165.28
